PlayerID,PlayerName,Tribe,Age,Home,Occupation,,EpisodeID,AirDate,Week,Notes,,,ChallengeID,GamePrice,Category,HasTarget,PropType,target,Puzzle,PuzzlePhase,PuzzleType,MaxObservedMargin,prop type,target,PuzzleType,PuzzlePhase,ChallengeName,Category
1,Alexandros Kourtovik,Athinaioi,29,Agios Dimitrios,Hotel Manager,,1,11/01/2026,1,premiere,,,1,Immunity,Race,1,Sand_bags,KNOCK_DOWN,0,NONE,,10,Sand_bags,KNOCK_DOWN,SLIDE,RACE,Immunity,
2,Dimitris Theodoropoulos,Athinaioi,29,Kalithea,Sportscaster,,2,12/01/2026,1,asilia,,,2,Immunity,Race,1,HOOP,LAND_IN,1,RACE,SLIDE,2,HOOP,HOOK,TANGRAM,TARGET,Food,
3,Elisavet Sekertzi,Athinaioi,30,Spata,Beauty Center owner,,3,13/01/2026,1,asilia,,,3,Immunity,Race,1,BALL_S,KNOCK_DOWN,0,NONE,,8,BALL_S,LAND_IN,TOWER,BOTH,Big reward,
4,Evelina Lykoudi,Athinaioi,22,Faliro,Marine Student,,4,14/01/2026,1,epathlo,,,4,Food,Race,1,POLE,LAND_IN,0,NONE,,2,BALL_L,STACK,MEMORY,NONE,Elimination,
5,Giannis Stinis,Athinaioi,41,Glyfada,Gym Owner,,5,18/01/2026,2,asilia,,,5,Immunity,Race,1,HOOP,KNOCK_DOWN,0,NONE,,7,DISC,THREAD,MAZE,,,
6,Gio Karantonis,Athinaioi,28,Athens,Rapper,,6,19/01/2026,2,asilia,,,6,Immunity,Race,1,DISC,LAND_IN,1,RACE,TANGRAM,3,Boomerang,BREAK,WORD,,,
7,Giorgos Karaisalidis,Athinaioi,27,Chalandri,Model,,7,20/01/2026,2,asilia,,,7,Immunity,Race,1,Sand_bags,LAND_IN,0,NONE,,3,TOTEMS,PLACE_IN_SLOT,NONE,,,
8,Giorgos Tsoukalas,Athinaioi,35,Kifisia,VIP Security,,8,21/01/2026,2,epathlo,,,8,Food,Strength,0,NONE,NONE,0,NONE,,0,POLE,PIN,,,,
9,Kelly Bofiliou,Athinaioi,28,Kypseli (Athens),Medical Rep.,,9,25/01/2026,3,asilia,,,9,Immunity,Race,1,STICK,KNOCK_DOWN,0,NONE,,6,NONE,NONE,,,,
10,Mantisa Tsota,Athinaioi,28,Zografou,Volleyball Player,,10,26/01/2026,3,asilia,,,10,Immunity,Race,1,HOOP,HOOK,1,RACE,SLIDE,4,STICK,BREAK,,,,
11,Stauroula Potiri,Athinaioi,31,Peristeri,Personal Trainer,,11,27/01/2026,3,asilia,,,11,Immunity,Race,1,BALL_L,PLACE_IN_SLOT,0,NONE,,3,HAMMER,,,,,
12,Vasiliki Mounti,Athinaioi,24,Marousi,Personal Trainer,,12,28/01/2026,3,epathlo,,,12,Food,Balance,0,NONE,NONE,0,NONE,,0,BALL_L_equiment,,,,,
25,Ariadni Dimitrelou,Athinaioi,26,Peristeri,Prwin Astinomikos,,13,01/02/2026,4,asilia,,,13,Immunity,Race,1,Sand_bags,KNOCK_DOWN,0,NONE,,3,,,,,,
26,Valantis Pakos,Athinaioi,46,Peristeri,Sofronistikos ypallilos,,14,02/02/2026,4,asilia,,,14,Immunity,Race,1,DISC,KNOCK_DOWN,1,RACE,SLIDE,4,,,,,,
27,Antonis Nikolopoulos,Athinaioi,36,Pagkrati,Ypallilos estiasis,,15,03/02/2026,4,asilia,,,15,Immunity,Race,1,Sand_bags,LAND_IN,0,NONE,,3,,,,,,
29,Alex Benzy Karantonis,Athinaioi,25,Glyfada,Tragoudistis,,16,04/02/2026,4,epathlo,,,16,Food,Balance,0,NONE,NONE,0,NONE,,2,,,,,,
,,,,,,,17,08/02/2026,5,asilia,,,17,Immunity,Race,1,HAMMER,BREAK,0,NONE,,5,,,,,,
OpponentID,PlayerName,Tribe,Age,Home,Occupation,,18,09/02/2026,5,asilia,,,18,Immunity,Race,1,BALL_L_equiment,LAND_IN,0,NONE,,3,,,,,,
13,Anastasia Stergiou,Eparxiotes,25,Thessaloniki,Constructor,,19,10/02/2026,5,asilia,,,19,Immunity,Race,1,HOOP,KNOCK_DOWN,1,RACE,MAZE,6,,,,,,
14,Christos Milonas,Eparxiotes,41,Thessaloniki,Administrative Assistant,,20,15/02/2026,6,asilia,,,20,Immunity,Race,1,Boomerang,KNOCK_DOWN,0,NONE,,5,,,,,,
15,Dimitra Liaga,Eparxiotes,28,Farsala,Security,,21,16/02/2026,6,asilia,,,21,Immunity,Race,1,BALL_S,KNOCK_DOWN,0,NONE,,7,,,,,,
16,Eleni Zaraga,Eparxiotes,30,Karditsa,Teacher,,22,17/02/2026,6,asilia,,,22,Immunity,Race,1,BALL_L,PLACE_IN_SLOT,0,NONE,,3,,,,,,
17,Fani Pantelaki,Eparxiotes,29,Galatas (Troizina),Football Player,,,,,,,,,,,,,,,,,,,,,,,
18,Foteini Kalevra,Eparxiotes,34,Megalopoli,Businesswoman,,,,,,,,,,,,,,,,,,,,,,,
19,Giorgos Polychros,Eparxiotes,25,Chalastra,Fisherman,,,,,,,,,,,,,,,,,,,,,,,
20,Ioanna Desylla,Eparxiotes,26,Larissa,Taekwondo champion,,,,,,,,,,,,,,,,,,,,,,,
21,Ioannis Revis,Eparxiotes,31,Igoumenitsa,Hotelier,,,,,,,,,,,,,,,,,,,,,,,
22,Manos Malliaros,Eparxiotes,27,Rethymno,CrossFit Trainer,,,,,,,,,,,,,,,,,,,,,,,
23,Michalis Sifakis,Eparxiotes,41,Heraklion,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,
24,Stauros Floros,Eparxiotes,21,Kavala,Apiarist,,,,,,,,,,,,,,,,,,,,,,,
28,Eftixia Kyrkosta,Eparxiotes,30,Thessaloniki,Epixeirimatias,,,,,,,,,,,,,,,,,,,,,,,
